t,dt,gamma,omega,Wg,Wphi,Wapar,energy,heat_flux,particle_flux,heat_flux_s0,particle_flux_s0
5.382086709141731262e-02,5.382086709141731262e-02,2.948788065815168255e-05,-2.238188807430570304e-02,3.275905612047755214e-04,1.727907428891585457e-05,0.000000000000000000e+00,3.448696354936913963e-04,2.528375828247803505e-06,0.000000000000000000e+00,2.528375828247803505e-06,0.000000000000000000e+00
2.744863510131835938e+00,5.382086709141731262e-02,2.968647276368691860e-03,-3.557381509682027571e-02,7.283710593559738133e-04,1.529322285241175696e-05,0.000000000000000000e+00,7.436642822083855669e-04,1.044233185238697416e-04,0.000000000000000000e+00,1.044233185238697416e-04,0.000000000000000000e+00
5.435912132263183594e+00,5.382086709141731262e-02,4.247648351638353336e-04,-5.249113472613445991e-02,1.979969485407367773e-03,2.251882062991500104e-05,0.000000000000000000e+00,2.002488306037282940e-03,2.782237449951212803e-04,0.000000000000000000e+00,2.782237449951212803e-04,0.000000000000000000e+00
8.126965522766113281e+00,5.382086709141731262e-02,-3.191860198330862073e-03,-5.462005573124750074e-02,5.743887784673855877e-03,5.657578609726210623e-05,0.000000000000000000e+00,5.800463570771118363e-03,9.024824843369925196e-04,0.000000000000000000e+00,9.024824843369925196e-04,0.000000000000000000e+00
1.081799602508544922e+01,5.382086709141731262e-02,-1.928190132104314752e-02,-4.779160624591067413e-02,1.916856814253313501e-02,1.893845758018584654e-04,0.000000000000000000e+00,1.935795271833499337e-02,3.318186997727952219e-03,0.000000000000000000e+00,3.318186997727952219e-03,0.000000000000000000e+00
1.350902652740478516e+01,5.382086709141731262e-02,-6.491152439181245570e-02,-3.842818058264755449e-02,7.170140053836561445e-02,7.218695653410582384e-04,0.000000000000000000e+00,7.242327010370666618e-02,1.319779943638593744e-02,0.000000000000000000e+00,1.319779943638593744e-02,0.000000000000000000e+00
1.620005989074707031e+01,5.382086709141731262e-02,-1.489830246810374959e-01,-7.134189588930359323e-03,2.875067165673861891e-01,2.916807198810632881e-03,0.000000000000000000e+00,2.904235237661968450e-01,5.457777129064903671e-02,0.000000000000000000e+00,5.457777129064903671e-02,0.000000000000000000e+00
1.889113807678222656e+01,5.382086709141731262e-02,-5.539990263783588498e-01,4.669390848641427616e-01,1.194068067372787478e+00,1.211716450885930337e-02,0.000000000000000000e+00,1.206185231881646835e+00,2.295508302201949569e-01,0.000000000000000000e+00,2.295508302201949569e-01,0.000000000000000000e+00
2.158221626281738281e+01,5.382086709141731262e-02,7.818735005664909643e-01,1.492085812687666824e-01,5.005363752770920271e+00,5.057978972984202015e-02,0.000000000000000000e+00,5.055943542500762611e+00,9.579979321822789107e-01,0.000000000000000000e+00,9.579979321822789107e-01,0.000000000000000000e+00
2.427329444885253906e+01,5.382086709141731262e-02,5.508947875049132747e-01,2.406031964909375459e-02,2.046812983790529117e+01,2.056096591298084419e-01,0.000000000000000000e+00,2.067373949703510050e+01,3.799475811620132149e+00,0.000000000000000000e+00,3.799475811620132149e+00,0.000000000000000000e+00
2.689977073669433594e+01,4.830199480056762695e-02,5.064500286072058932e-01,-1.539446078279893071e-03,7.537050190263988725e+01,7.676082199127798322e-01,0.000000000000000000e+00,7.613811012255266064e+01,1.311378310292326432e+01,0.000000000000000000e+00,1.311378310292326432e+01,0.000000000000000000e+00
2.901706314086914062e+01,4.083276540040969849e-02,3.726745596343323252e-01,-2.723213848458785891e-02,1.877479731237147007e+02,2.187463298625597297e+00,0.000000000000000000e+00,1.899354364223403024e+02,2.598577550145460080e+01,0.000000000000000000e+00,2.598577550145460080e+01,0.000000000000000000e+00
3.072491264343261719e+01,3.163227811455726624e-02,1.382853540559417782e-01,-3.677812813346985066e-01,2.704633801657553249e+02,4.129631391622868186e+00,0.000000000000000000e+00,2.745930115573781904e+02,1.626654252641544218e+01,0.000000000000000000e+00,1.626654252641544218e+01,0.000000000000000000e+00
3.232619094848632812e+01,3.175344690680503845e-02,3.431032929817802168e-01,-1.593583496219245221e-01,2.580098722359981593e+02,4.195907849788282462e+00,0.000000000000000000e+00,2.622057800857864436e+02,7.724227795625767001e+00,0.000000000000000000e+00,7.724227795625767001e+00,0.000000000000000000e+00
3.390623474121093750e+01,3.189694508910179138e-02,2.045960399010778585e-01,-3.583949870240670799e-01,2.081568753046565803e+02,3.279304457289308861e+00,0.000000000000000000e+00,2.114361797619458798e+02,6.329115794291119812e+00,0.000000000000000000e+00,6.329115794291119812e+00,0.000000000000000000e+00
3.566685104370117188e+01,3.775176778435707092e-02,-1.670485658381453409e-01,-1.671312987805584904e-01,1.590843224616613725e+02,2.320277709505204733e+00,0.000000000000000000e+00,1.614046001711665781e+02,5.847132875969213828e+00,0.000000000000000000e+00,5.847132875969213828e+00,0.000000000000000000e+00
3.773857116699218750e+01,4.426728934049606323e-02,-1.081448179676792326e-01,5.459712179688616662e-02,1.254536556752096743e+02,1.677480681227969672e+00,0.000000000000000000e+00,1.271311363564376506e+02,5.635740528910518243e+00,0.000000000000000000e+00,5.635740528910518243e+00,0.000000000000000000e+00
4.004396438598632812e+01,4.909799247980117798e-02,-2.000800392836533381e-01,1.464202124693105844e-01,1.119243261179784952e+02,1.442951419451346418e+00,0.000000000000000000e+00,1.133672775374298425e+02,5.723017223555644684e+00,0.000000000000000000e+00,5.723017223555644684e+00,0.000000000000000000e+00
4.246253204345703125e+01,4.990741237998008728e-02,-7.505874160992066779e-02,1.571801137168825618e-03,1.097652303326850074e+02,1.437325483989357444e+00,0.000000000000000000e+00,1.112025558166743622e+02,5.652908966254166501e+00,0.000000000000000000e+00,5.652908966254166501e+00,0.000000000000000000e+00
4.489005661010742188e+01,4.803034663200378418e-02,-9.943962333970880751e-02,-1.770149330898228290e-01,1.086719761819104093e+02,1.453071078075225175e+00,0.000000000000000000e+00,1.101250472599856352e+02,5.040296148612339877e+00,0.000000000000000000e+00,5.040296148612339877e+00,0.000000000000000000e+00
4.734339141845703125e+01,5.046108737587928772e-02,-1.137558367680733956e-01,-3.970167464042929084e-01,1.065606073214524940e+02,1.417069653496454418e+00,0.000000000000000000e+00,1.079776769749489489e+02,5.052724072822681656e+00,0.000000000000000000e+00,5.052724072822681656e+00,0.000000000000000000e+00
4.985205841064453125e+01,5.079523101449012756e-02,1.663152582744404639e-01,-5.085079752486606486e-01,1.059176238305131506e+02,1.411917299563519856e+00,0.000000000000000000e+00,1.073295411300766773e+02,5.037186665415500642e+00,0.000000000000000000e+00,5.037186665415500642e+00,0.000000000000000000e+00
5.232613372802734375e+01,5.079537630081176758e-02,1.164607373473382020e-05,-1.975422120335188492e-01,1.047847998946728865e+02,1.380291324354949278e+00,0.000000000000000000e+00,1.061650912190278291e+02,4.917030780031625525e+00,0.000000000000000000e+00,4.917030780031625525e+00,0.000000000000000000e+00
5.482526779174804688e+01,4.812038317322731018e-02,-1.237861107061521693e-01,-4.631361395426405320e-02,1.046311090976376619e+02,1.365254940918067206e+00,0.000000000000000000e+00,1.059963640385557255e+02,5.082911781438764542e+00,0.000000000000000000e+00,5.082911781438764542e+00,0.000000000000000000e+00
5.733052062988281250e+01,5.102486163377761841e-02,-1.434202844982657432e-01,-1.201616125025106174e-01,1.059635625580330611e+02,1.367508530425868507e+00,0.000000000000000000e+00,1.073310710884589270e+02,5.146482965083183814e+00,0.000000000000000000e+00,5.146482965083183814e+00,0.000000000000000000e+00
5.982383728027343750e+01,5.065600201487541199e-02,-6.213336918536316311e-01,-5.844720524168151021e-01,1.076834370332873334e+02,1.388223015714133979e+00,0.000000000000000000e+00,1.090716600490014656e+02,5.216256726718436099e+00,0.000000000000000000e+00,5.216256726718436099e+00,0.000000000000000000e+00
6.235446548461914062e+01,5.274374783039093018e-02,1.223430917154103570e-01,-1.437357574318207099e-01,1.089191824380643681e+02,1.450284755981153584e+00,0.000000000000000000e+00,1.103694671940455265e+02,5.173939967106330862e+00,0.000000000000000000e+00,5.173939967106330862e+00,0.000000000000000000e+00
6.496139526367187500e+01,5.250101909041404724e-02,2.597950154071074214e-01,2.045737663452188229e-02,1.085345531634088729e+02,1.480016024489771986e+00,0.000000000000000000e+00,1.100145691878986440e+02,4.933862257128084572e+00,0.000000000000000000e+00,4.933862257128084572e+00,0.000000000000000000e+00
6.756164550781250000e+01,5.276763066649436951e-02,2.908230661955059082e-01,-2.730655407691389147e-01,1.065118677669954508e+02,1.420692120602267794e+00,0.000000000000000000e+00,1.079325598875977192e+02,4.966674820430990067e+00,0.000000000000000000e+00,4.966674820430990067e+00,0.000000000000000000e+00
7.013709259033203125e+01,5.194053053855895996e-02,1.464213894388821935e-01,-3.132470311429455534e-02,1.072552396333780109e+02,1.408178010386909484e+00,0.000000000000000000e+00,1.086634176437649160e+02,5.258375658256382756e+00,0.000000000000000000e+00,5.258375658256382756e+00,0.000000000000000000e+00
7.273746490478515625e+01,5.340916663408279419e-02,-5.945536914189393507e-02,1.891775524922552909e-01,1.088278050378311264e+02,1.420665291982155853e+00,0.000000000000000000e+00,1.102484703298132871e+02,5.237790923598926618e+00,0.000000000000000000e+00,5.237790923598926618e+00,0.000000000000000000e+00
7.533094787597656250e+01,5.227325856685638428e-02,-3.227302902428869774e-02,2.085768428625034334e-03,1.103643610218649656e+02,1.420690311033731890e+00,0.000000000000000000e+00,1.117850513328987034e+02,5.378875441575565297e+00,0.000000000000000000e+00,5.378875441575565297e+00,0.000000000000000000e+00
7.792460632324218750e+01,5.269182845950126648e-02,-2.735599024638148968e-01,-2.167081134976929224e-01,1.116400604844301654e+02,1.427198503646687655e+00,0.000000000000000000e+00,1.130672589880768584e+02,5.263281603469416758e+00,0.000000000000000000e+00,5.263281603469416758e+00,0.000000000000000000e+00
8.047525787353515625e+01,4.981262609362602234e-02,-3.239563396697741071e-01,-5.325248742217461029e-01,1.119444321058020932e+02,1.385673358472803374e+00,0.000000000000000000e+00,1.133301054642748937e+02,5.300519925989104486e+00,0.000000000000000000e+00,5.300519925989104486e+00,0.000000000000000000e+00
8.295674896240234375e+01,4.989180713891983032e-02,2.088657198080993149e-01,3.784735848448161216e-02,1.138079070236390180e+02,1.409386991728275529e+00,0.000000000000000000e+00,1.152172940153672869e+02,5.596389751341536822e+00,0.000000000000000000e+00,5.596389751341536822e+00,0.000000000000000000e+00
